:::MLLOG {"namespace": "", "time_ms": 1715968179529, "event_type": "INTERVAL_START", "key": "power_measurement_start", "value": null, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968179529, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 3524, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968181518, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7361, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968183538, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7328, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968185580, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7360, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968187548, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7355, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968189552, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6726, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968191557, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7189, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968193537, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7279, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968195551, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7301, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968197556, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7363, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968199561, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6828, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968201566, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5888, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968203571, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6898, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968205565, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6636, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968207571, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6696, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968209579, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7025, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968211607, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5931, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968213596, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6057, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968215592, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6893, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968217622, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6652, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968219627, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6682, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968221615, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6705, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968223635, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5934, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968225624, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5888, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968227644, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6593, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968229634, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6713, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968231656, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6706, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968233661, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6925, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968235666, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5914, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968237671, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5921, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968239676, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6531, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968241665, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6745, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968243688, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7173, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968245678, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 7031, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968247685, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 5708, "metadata": ""}
:::MLLOG {"namespace": "", "time_ms": 1715968249708, "event_type": "POINT_IN_TIME", "key": "power_reading", "value": 6084, "metadata": ""}
